Line,Smell,Number of Parameters,Threshold,File
253,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-settings-builder/src/main/java/org/apache/maven/settings/validation/DefaultSettingsValidator.java
57,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/WagonManager.java
711,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/LegacyRepositorySystem.java
294,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
596,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/DefaultWagonManager.java
85,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
104,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
225,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
717,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
739,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/DefaultLegacyArtifactCollector.java
44,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/LegacyArtifactCollector.java
54,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/LegacyArtifactCollector.java
66,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/repository/legacy/resolver/LegacyArtifactCollector.java
36,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ArtifactCollector.java
45,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolver.java
56,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolver.java
67,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolver.java
88,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolver.java
101,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/ArtifactResolver.java
226,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
244,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
256,long parameters,7,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
286,long parameters,6,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
305,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
328,long parameters,9,5,../input_projects/java_projects/maven-3-9-6/maven-compat/src/main/java/org/apache/maven/artifact/resolver/DefaultArtifactResolver.java
1031,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
1077,long parameters,8,5,../input_projects/java_projects/maven-3-9-6/maven-model-builder/src/main/java/org/apache/maven/model/validation/DefaultModelValidator.java
